date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2024-01-02,sh.601328,5.7600,5.8200,5.7400,5.7800,5.7400,125277792,725441819.4300,3,0.319200,1,0.696900,0
2024-01-03,sh.601328,5.7800,5.8600,5.7700,5.8500,5.7800,156427305,912662450.7600,3,0.398500,1,1.211100,0
2024-01-04,sh.601328,5.8400,5.9000,5.8400,5.9000,5.8500,126368459,741997555.2300,3,0.322000,1,0.854700,0
2024-01-05,sh.601328,5.8900,5.9800,5.8800,5.9100,5.9000,136211574,808284866.5700,3,0.347000,1,0.169500,0
2024-01-08,sh.601328,5.9000,5.9500,5.8500,5.8900,5.9100,107844154,635327397.4700,3,0.274800,1,-0.338400,0
2024-01-09,sh.601328,5.8700,5.9000,5.8100,5.8800,5.8900,98483058,576699973.4400,3,0.250900,1,-0.169800,0
2024-01-10,sh.601328,5.8700,5.9300,5.8400,5.8400,5.8800,79009451,463610158.3300,3,0.201300,1,-0.680300,0
2024-01-11,sh.601328,5.8400,5.8400,5.7500,5.7500,5.8400,142972319,828404502.6400,3,0.364300,1,-1.541100,0
2024-01-12,sh.601328,5.7500,5.8300,5.7500,5.8100,5.7500,105175081,610058254.6600,3,0.268000,1,1.043500,0
2024-01-15,sh.601328,5.8200,5.8400,5.7800,5.8300,5.8100,91163069,530401927.9500,3,0.232300,1,0.344200,0
2024-01-16,sh.601328,5.8100,5.8700,5.8000,5.8500,5.8300,120229236,702211617.2200,3,0.306300,1,0.343100,0
2024-01-17,sh.601328,5.8500,5.8900,5.8000,5.8000,5.8500,150074308,876332955.7200,3,0.382300,1,-0.854700,0
2024-01-18,sh.601328,5.7900,5.8200,5.6200,5.7900,5.8000,272469361,1556634115.9200,3,0.694200,1,-0.172400,0
2024-01-19,sh.601328,5.7600,5.7900,5.6800,5.7700,5.7900,147681383,848467507.6300,3,0.376300,1,-0.345400,0
2024-01-22,sh.601328,5.7700,5.8200,5.7300,5.7700,5.7700,219973362,1273837167.0600,3,0.560400,1,0.000000,0
2024-01-23,sh.601328,5.7600,5.7800,5.7200,5.7500,5.7700,117464032,674754623.0900,3,0.299300,1,-0.346600,0
2024-01-24,sh.601328,5.7600,5.8600,5.7500,5.8400,5.7500,183257551,1064419708.0200,3,0.466900,1,1.565200,0
2024-01-25,sh.601328,5.8700,5.9200,5.8400,5.9000,5.8400,179212006,1054502353.8200,3,0.456600,1,1.027400,0
2024-01-26,sh.601328,5.8900,5.9800,5.8700,5.9700,5.9000,209386150,1242152043.7000,3,0.533500,1,1.186400,0
2024-01-29,sh.601328,5.9900,6.0900,5.9800,6.0400,5.9700,188849038,1139529518.8600,3,0.481100,1,1.172500,0
2024-01-30,sh.601328,6.0300,6.0700,5.9500,5.9900,6.0400,133579069,803415134.2600,3,0.340300,1,-0.827800,0
2024-01-31,sh.601328,5.9800,6.0300,5.9400,6.0000,5.9900,144651806,866234311.1000,3,0.368500,1,0.166900,0
2024-02-01,sh.601328,6.0000,6.0200,5.9600,5.9800,6.0000,138547123,830037963.8000,3,0.353000,1,-0.333300,0
2024-02-02,sh.601328,5.9900,6.0800,5.9500,6.0300,5.9800,211899221,1278790245.9800,3,0.539900,1,0.836100,0
2024-02-05,sh.601328,6.0400,6.1700,6.0300,6.1500,6.0300,302324353,1849516923.9300,3,0.770200,1,1.990000,0
2024-02-06,sh.601328,6.1500,6.2500,6.1400,6.1900,6.1500,240545806,1489298270.2500,3,0.612800,1,0.650400,0
2024-02-07,sh.601328,6.1900,6.2000,5.9300,6.0800,6.1900,316461064,1917362550.4600,3,0.806300,1,-1.777100,0
2024-02-08,sh.601328,6.0500,6.0600,5.9100,6.0100,6.0800,232234201,1384570498.9500,3,0.591700,1,-1.151300,0
2024-02-19,sh.601328,6.0100,6.2500,6.0000,6.2500,6.0100,260113495,1603919265.5900,3,0.662700,1,3.993300,0
2024-02-20,sh.601328,6.2800,6.3800,6.2200,6.3500,6.2500,135302874,854369040.3600,3,0.344700,1,1.600000,0
2024-02-21,sh.601328,6.3200,6.4600,6.3100,6.4100,6.3500,156462510,1001759058.8700,3,0.398600,1,0.944900,0
2024-02-22,sh.601328,6.4300,6.4300,6.3600,6.4000,6.4100,98117681,627735518.9700,3,0.250000,1,-0.156000,0
2024-02-23,sh.601328,6.4100,6.5300,6.4000,6.4900,6.4000,123867823,803588052.5500,3,0.315600,1,1.406300,0
2024-02-26,sh.601328,6.4800,6.4900,6.2800,6.2900,6.4900,127817751,813627019.0200,3,0.325600,1,-3.081700,0
2024-02-27,sh.601328,6.2700,6.3700,6.2600,6.2900,6.2900,94001924,592575306.5500,3,0.239500,1,0.000000,0
2024-02-28,sh.601328,6.2500,6.3200,6.1900,6.2600,6.2900,133167128,833409748.1700,3,0.339300,1,-0.476900,0
2024-02-29,sh.601328,6.2600,6.3000,6.2300,6.2700,6.2600,119263267,746690597.7700,3,0.303800,1,0.159700,0
2024-03-01,sh.601328,6.2600,6.3300,6.2400,6.3200,6.2700,108811400,684656161.5200,3,0.277200,1,0.797400,0
